LAT;;;;;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534;48.8534
LON;;;;;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880;2.34880
ASL;;;;;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000;42.0000
CITY;;;;;Paris;Paris;Paris;Paris;Paris;Paris;Paris;Paris;Paris;Paris
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;%;%;%;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;10;28;00;00;9.47;78.00;1023.20;0.00;76.00;66.00;100.00;0.00;14.00;46.04
2019;10;28;01;00;9.24;76.00;1023.20;0.00;42.00;22.00;100.00;0.00;14.90;52.85
2019;10;28;02;00;8.95;74.00;1023.00;0.00;20.00;7.00;100.00;0.00;14.69;53.97
2019;10;28;03;00;8.49;76.00;1022.80;0.00;18.00;41.00;54.00;0.00;13.90;53.43
2019;10;28;04;00;8.00;76.00;1022.60;0.00;8.00;3.00;78.00;0.00;14.08;57.53
2019;10;28;05;00;7.77;76.00;1022.50;0.00;7.00;0.00;100.00;0.00;13.58;57.99
2019;10;28;06;00;7.52;76.00;1022.30;0.00;26.00;39.00;100.00;0.00;14.83;60.95
2019;10;28;07;00;7.15;76.00;1022.00;0.00;28.00;19.00;100.00;0.00;15.32;60.42
2019;10;28;08;00;6.73;77.00;1022.20;0.00;30.00;0.00;100.00;4.45;15.32;60.42
2019;10;28;09;00;7.19;74.00;1022.40;0.00;25.00;0.00;100.00;65.86;14.83;60.95
2019;10;28;10;00;8.32;70.00;1021.90;0.00;23.00;65.00;100.00;154.86;14.81;64.06
2019;10;28;11;00;9.75;64.00;1021.90;0.00;91.00;41.00;100.00;195.80;15.04;68.96
2019;10;28;12;00;10.90;59.00;1021.70;0.00;100.00;100.00;100.00;188.68;14.24;69.27
2019;10;28;13;00;11.55;55.00;1021.40;0.00;100.00;100.00;100.00;128.16;14.66;65.32
2019;10;28;14;00;12.34;50.00;1020.30;0.00;81.00;79.00;75.00;200.25;18.25;67.99
2019;10;28;15;00;12.90;49.00;1019.90;0.00;53.00;96.00;50.00;258.99;19.97;64.36
2019;10;28;16;00;13.15;48.00;1019.80;0.00;36.00;99.00;25.00;220.72;18.84;63.92
2019;10;28;17;00;12.81;51.00;1019.80;0.00;48.00;100.00;8.00;128.16;17.71;63.43
2019;10;28;18;00;12.27;53.00;1019.70;0.00;53.00;100.00;100.00;18.69;16.60;65.66
2019;10;28;19;00;11.84;55.00;1019.50;0.00;100.00;100.00;100.00;0.00;15.26;70.71
2019;10;28;20;00;11.53;59.00;1019.30;0.00;100.00;100.00;100.00;0.00;14.58;69.78
2019;10;28;21;00;11.28;61.00;1019.50;0.00;19.00;100.00;100.00;0.00;14.80;71.57
2019;10;28;22;00;11.01;63.00;1019.80;0.00;22.00;100.00;100.00;0.00;14.58;69.78
2019;10;28;23;00;10.70;65.00;1019.40;0.00;2.00;100.00;100.00;0.00;14.37;67.93
2019;10;29;00;00;10.36;66.00;1019.10;0.00;17.00;64.00;100.00;0.00;15.62;64.03
2019;10;29;01;00;10.08;67.00;1019.60;0.00;10.00;98.00;100.00;0.00;16.12;66.30
2019;10;29;02;00;9.64;66.00;1019.70;0.00;17.00;26.00;100.00;0.00;16.18;69.15
2019;10;29;03;00;9.18;66.00;1019.10;0.00;12.00;12.00;100.00;0.00;15.72;69.90
2019;10;29;04;00;8.86;67.00;1019.50;0.00;25.00;66.00;100.00;0.00;15.63;61.07
2019;10;29;05;00;8.54;68.00;1019.40;0.00;29.00;100.00;100.00;0.00;17.10;59.66
2019;10;29;06;00;8.48;69.00;1020.20;0.00;0.00;100.00;100.00;0.00;15.19;53.67
2019;10;29;07;00;8.37;69.00;1019.90;0.00;0.00;100.00;100.00;0.00;16.12;60.57
2019;10;29;08;00;8.21;70.00;1020.10;0.00;0.00;0.00;100.00;8.01;15.98;67.48
2019;10;29;09;00;8.98;67.00;1020.40;0.00;11.00;0.00;100.00;109.47;17.11;75.38
2019;10;29;10;00;10.17;63.00;1020.60;0.00;34.00;83.00;9.00;250.98;17.73;77.09
2019;10;29;11;00;11.63;57.00;1021.10;0.00;98.00;100.00;77.00;338.20;17.65;78.23
2019;10;29;12;00;12.67;52.00;1020.80;0.00;36.00;90.00;100.00;342.65;18.00;73.74
2019;10;29;13;00;13.36;49.00;1020.90;0.00;20.00;100.00;100.00;328.41;19.65;76.22
2019;10;29;14;00;13.08;50.00;1020.90;0.00;76.00;75.00;100.00;222.50;16.92;90.00
2019;10;29;15;00;12.89;52.00;1020.90;0.00;9.00;100.00;100.00;185.12;16.56;90.00
2019;10;29;16;00;12.42;55.00;1020.90;0.00;3.00;100.00;100.00;94.34;16.20;90.00
2019;10;29;17;00;12.59;55.00;1020.70;0.00;1.00;55.00;100.00;109.47;16.20;90.00
2019;10;29;18;00;12.39;55.00;1021.20;0.00;27.00;71.00;100.00;13.35;16.20;88.73
2019;10;29;19;00;12.17;56.00;1021.50;0.00;36.00;79.00;100.00;0.00;16.39;81.16
2019;10;29;20;00;11.82;57.00;1021.50;0.00;32.00;87.00;100.00;0.00;18.29;79.80
2019;10;29;21;00;11.46;58.00;1021.80;0.00;36.00;100.00;100.00;0.00;18.72;88.90
2019;10;29;22;00;11.12;60.00;1021.60;0.00;37.00;100.00;100.00;0.00;17.65;92.34
2019;10;29;23;00;10.91;61.00;1022.60;0.00;19.00;100.00;100.00;0.00;13.68;88.49
2019;10;30;00;00;9.77;73.00;1022.70;0.00;37.00;100.00;100.00;0.00;14.06;87.06
2019;10;30;01;00;9.20;78.00;1022.30;0.80;100.00;100.00;100.00;0.00;15.12;90.00
2019;10;30;02;00;8.99;78.00;1022.20;0.60;77.00;80.00;100.00;0.00;16.30;83.66
2019;10;30;03;00;8.99;76.00;1021.90;0.20;50.00;100.00;100.00;0.00;14.76;91.40
